Date,Sales
2023-01-01,209.93428306022466
2023-01-02,198.9605209250617
2023-01-03,216.40332798223008
2023-01-04,235.62979371757902
2023-01-05,202.19960823489168
2023-01-06,203.9052135155802
2023-01-07,241.86725146444465
2023-01-08,227.31447779743607
2023-01-09,204.24482370577564
2023-01-10,226.13779223970695
2023-01-11,207.6523001354343
2023-01-12,209.21995688084823
2023-01-13,224.96560736831904
2023-01-14,183.42858206272194
2023-01-15,188.73780195192776
2023-01-16,213.5046886943596
2023-01-17,205.9786019832619
2023-01-18,233.97369113993213
2023-01-19,210.9487858756143
2023-01-20,202.24902619329782
2023-01-21,261.15756684517555
2023-01-22,228.64060690230906
2023-01-23,235.7787256609223
2023-01-24,207.1641978072607
2023-01-25,225.96001130871318
2023-01-26,240.21070980142628
2023-01-27,216.07170257495545
2023-01-28,247.65826443885757
2023-01-29,229.13641949630673
2023-01-30,236.27116925027505
2023-01-31,230.9765855760871
2023-02-01,280.91069840015086
2023-02-02,244.39733219451946
2023-02-03,224.26196925171968
2023-02-04,262.5618738851543
2023-02-05,222.3339391348503
2023-02-06,251.5122066992354
2023-02-07,208.6692450500853
2023-02-08,221.76960045669236
2023-02-09,252.68362032647363
2023-02-10,263.8707093825797
2023-02-11,252.82521054023672
2023-02-12,247.3224780571379
2023-02-13,243.79181708531556
2023-02-14,220.36253432667425
2023-02-15,235.5956670341483
2023-02-16,240.77977578284674
2023-02-17,271.07541865840113
2023-02-18,256.6862567884706
2023-02-19,214.374640597648
2023-02-20,255.87952430433322
2023-02-21,241.39973217434522
2023-02-22,235.207955602972
2023-02-23,260.5668472114783
2023-02-24,268.48263797759984
2023-02-25,265.96053718146425
2023-02-26,229.966461669818
2023-02-27,239.92672812606622
2023-02-28,252.04145645890898
2023-03-01,264.1781792317254
2023-03-02,234.2816499530663
2023-03-03,239.2975382873987
2023-03-04,219.97834476602003
2023-03-05,217.2250608130694
2023-03-06,256.3948205198281
2023-03-07,266.21637469481794
2023-03-08,236.55205557562226
2023-03-09,256.9183237570573
2023-03-10,242.8918820324825
2023-03-11,221.52576647506135
2023-03-12,240.38404502220806
2023-03-13,262.6053227960639
2023-03-14,229.7785794378046
2023-03-15,260.4021405023187
2023-03-16,175.29384240623176
2023-03-17,242.6732744774549
2023-03-18,226.4913806439425
2023-03-19,217.25601159287106
2023-03-20,223.52940248658797
2023-03-21,180.37498364498052
2023-03-22,214.14111419550312
2023-03-23,224.06290542191846
2023-03-24,244.844472262818
2023-03-25,203.26890705900172
2023-03-26,195.79591115651414
2023-03-27,200.2478542826061
2023-03-28,226.8959950086053
2023-03-29,213.45769792255211
2023-03-30,194.57399251407773
2023-03-31,213.71490588248338
2023-04-01,203.66735793544623
2023-04-02,219.37289981065777
2023-04-03,184.23313117396756
2023-04-04,189.9971998478284
2023-04-05,186.98864034793834
2023-04-06,163.84702530799922
2023-04-07,197.33445288672772
2023-04-08,194.938110289301
2023-04-09,188.13648591847135
2023-04-10,181.67394590802238
2023-04-11,156.40599379100408
2023-04-12,174.6664395530093
2023-04-13,174.61115771721126
2023-04-14,163.82809267856925
2023-04-15,175.0800988108019
2023-04-16,184.84485853410234
2023-04-17,212.97327874503154
2023-04-18,177.2563318666864
2023-04-19,177.46226332642863
2023-04-20,169.40181429863816
2023-04-21,131.12947547401555
2023-04-22,167.6251310242712
2023-04-23,168.04847128678077
2023-04-24,214.8366806825419
2023-04-25,160.49361917284776
2023-04-26,169.1832810474554
2023-04-27,161.3135065986662
2023-04-28,137.5348651242079
2023-04-29,182.7121522183563
2023-04-30,173.88946735905267
2023-05-01,173.71559469472035
2023-05-02,138.80153308343017
2023-05-03,184.19075150874988
2023-05-04,127.29570205487624
2023-05-05,166.32095404516772
2023-05-06,197.69813687310906
2023-05-07,133.4384613631155
2023-05-08,141.33911060880428
2023-05-09,154.13037977407203
2023-05-10,141.59716548301503
2023-05-11,120.24033576958618
2023-05-12,152.26988171344905
2023-05-13,129.35608080904058
2023-05-14,159.83640490780095
2023-05-15,131.7976243182226
2023-05-16,181.065713966328
2023-05-17,134.3423829512328
2023-05-18,143.566218473844
2023-05-19,166.3373702133706
2023-05-20,125.56882267421956
2023-05-21,154.9137549871799
2023-05-22,176.74501016921124
2023-05-23,118.74895752610391
2023-05-24,154.9462815615549
2023-05-25,156.86433445030747
2023-05-26,167.77380990786543
2023-05-27,127.92605098329804
2023-05-28,126.84005560404373
2023-05-29,164.32785566924744
2023-05-30,160.523505633826
2023-05-31,160.34258031763937
2023-06-01,163.0638294799674
2023-06-02,143.38878774775515
2023-06-03,162.5400296970795
2023-06-04,164.7122561712908
2023-06-05,145.5686675675285
2023-06-06,198.22391609949364
2023-06-07,171.4844004110068
2023-06-08,139.3262642567302
2023-06-09,177.47191064114676
2023-06-10,146.07820502828974
2023-06-11,182.58555916280926
2023-06-12,191.3273201134036
2023-06-13,153.09125341296215
2023-06-14,190.15825519884788
2023-06-15,180.56687405070332
2023-06-16,190.2059788099394
2023-06-17,213.18542037389986
2023-06-18,171.85607907775415
2023-06-19,163.2310897569723
2023-06-20,162.0833494704911
2023-06-21,165.14924234843784
2023-06-22,181.53731182003438
2023-06-23,191.53644812834523
2023-06-24,191.89950456212568
2023-06-25,204.57788176634259
2023-06-26,189.9770426832613
2023-06-27,220.48272888858253
2023-06-28,187.82418760588246
2023-06-29,249.23418674237388
2023-06-30,209.06378973508387
2023-07-01,181.1310419231889
2023-07-02,178.58215003877774
2023-07-03,211.37525525334908
2023-07-04,198.9803015136992
2023-07-05,219.4492064712603
2023-07-06,216.3474282208293
2023-07-07,207.1313744014263
2023-07-08,193.34712079292873
2023-07-09,181.66883872066057
2023-07-10,204.70401238313426
2023-07-11,232.41456725445707
2023-07-12,221.20252887428757
2023-07-13,193.6197763780136
2023-07-14,223.58998045402197
2023-07-15,229.40053455045464
2023-07-16,205.55900987816574
2023-07-17,227.8249413980896
2023-07-18,227.39939875887035
2023-07-19,204.82933853141418
2023-07-20,236.26501459300417
2023-07-21,241.71079074736835
2023-07-22,253.50561633024998
2023-07-23,254.2321739527378
2023-07-24,206.87477420802202
2023-07-25,216.90266073322732
2023-07-26,247.14837114339002
2023-07-27,248.2679770254731
2023-07-28,249.39252784952242
2023-07-29,317.1989338850385
2023-07-30,252.56700350854615
2023-07-31,264.8163570497526
2023-08-01,262.09075309053907
2023-08-02,256.8929597360881
2023-08-03,238.36189179647124
2023-08-04,260.59557224070306
2023-08-05,230.65447135233907
2023-08-06,242.01443999947057
2023-08-07,237.6276638425582
2023-08-08,249.50013031540723
2023-08-09,294.62649276813113
2023-08-10,211.4010917572562
2023-08-11,262.82658159016177
2023-08-12,217.1435274926443
2023-08-13,240.19680638911402
2023-08-14,271.59290293644864
2023-08-15,251.21857451593206
2023-08-16,228.43765564345637
2023-08-17,235.68647701684313
2023-08-18,263.52492911271634
2023-08-19,235.2065583627586
2023-08-20,253.96461549654222
2023-08-21,250.30928171451362
2023-08-22,236.06937083055516
2023-08-23,291.6252773955977
2023-08-24,261.0117018810212
2023-08-25,207.35979579452865
2023-08-26,251.06402109452884
2023-08-27,233.515082838903
2023-08-28,263.15964233901497
2023-08-29,229.5657730621837
2023-08-30,242.37254785994017
2023-08-31,253.96488028958123
2023-09-01,260.3258217040775
2023-09-02,218.09911610502508
2023-09-03,234.45916857786386
2023-09-04,230.645397848725
2023-09-05,226.02498947192726
2023-09-06,273.3013428128509
2023-09-07,244.94730001843598
2023-09-08,210.4414824448289
2023-09-09,252.78540050825939
2023-09-10,275.59925685229246
2023-09-11,252.49389667776745
2023-09-12,200.10770090092336
2023-09-13,219.4245859287135
2023-09-14,253.02696747175912
2023-09-15,212.08183507757482
2023-09-16,233.6268278421037
2023-09-17,238.72883967077516
2023-09-18,203.15557752431624
2023-09-19,218.9358548157624
2023-09-20,153.70920515087198
2023-09-21,196.4329011649977
2023-09-22,210.23522834012445
2023-09-23,188.67864778517773
2023-09-24,244.61400929301067
2023-09-25,181.68016759508419
2023-09-26,199.78706292062412
2023-09-27,209.49748727508026
2023-09-28,233.99466237074088
2023-09-29,174.73231419662753
2023-09-30,224.98908199158458
2023-10-01,200.20466122039176
2023-10-02,178.64402003055562
2023-10-03,205.79251226504923
2023-10-04,198.8119973220509
2023-10-05,181.1129867274657
2023-10-06,192.8080890452366
2023-10-07,182.01073290846801
2023-10-08,190.30456369064706
2023-10-09,199.60830206594625
2023-10-10,216.4337449549194
2023-10-11,158.32303603177954
2023-10-12,224.12611554087204
2023-10-13,140.8318820725516
2023-10-14,175.27011114341045
2023-10-15,188.53018552750314
2023-10-16,180.86939807552162
2023-10-17,161.3107852136377
2023-10-18,168.14881050482785
2023-10-19,161.03071392078482
2023-10-20,157.7176046411122
2023-10-21,185.14745047367603
2023-10-22,173.98417680726118
2023-10-23,151.71364652762307
2023-10-24,182.33283597713523
2023-10-25,169.29832461831538
2023-10-26,178.26498436955026
2023-10-27,173.50100271507077
2023-10-28,143.27579570961444
2023-10-29,147.6471859013778
2023-10-30,172.84082785632467
2023-10-31,169.19668748799427
2023-11-01,155.71683341074495
2023-11-02,157.6792709768975
2023-11-03,180.13711008493078
2023-11-04,142.0575965801929
2023-11-05,164.19113548913
2023-11-06,148.62121215218184
2023-11-07,147.78372840777484
2023-11-08,173.64221560508284
2023-11-09,167.76193137066943
2023-11-10,167.16881493734127
2023-11-11,176.71173122664925
2023-11-12,150.7846331277525
2023-11-13,163.82516842879795
2023-11-14,143.86169073410807
2023-11-15,156.49077584772635
2023-11-16,147.40458771060383
2023-11-17,152.00694516583155
2023-11-18,162.08924951163692
2023-11-19,134.00014263042783
2023-11-20,192.44990059727186
2023-11-21,130.77827458733444
2023-11-22,126.96983213515416
2023-11-23,174.82889603534036
2023-11-24,167.9706063515779
2023-11-25,165.14746154190283
2023-11-26,165.81609805101485
2023-11-27,153.6440888999712
2023-11-28,136.63872473944565
2023-11-29,156.8488144745964
2023-11-30,142.59163105978567
2023-12-01,176.49167684767997
2023-12-02,154.95380812381663
2023-12-03,142.34086276946692
2023-12-04,153.427979094996
2023-12-05,169.167054962111
2023-12-06,150.73325093669155
2023-12-07,146.7079262894545
2023-12-08,169.21458269830845
2023-12-09,170.4711698550106
2023-12-10,156.7050035805376
2023-12-11,158.73464242088903
2023-12-12,174.14589852714911
2023-12-13,141.929045784015
2023-12-14,144.16198002444222
2023-12-15,159.39589118500083
2023-12-16,170.9806176865839
2023-12-17,182.98199270977167
2023-12-18,207.8129373831131
2023-12-19,197.02683052704197
2023-12-20,178.26667744847805
2023-12-21,182.6990218502627
2023-12-22,164.66282133925617
2023-12-23,185.99542585567747
2023-12-24,182.26104400721928
2023-12-25,196.17137605246495
2023-12-26,174.86742847438973
2023-12-27,203.504254555465
2023-12-28,225.485581670633
2023-12-29,194.37523981064652
2023-12-30,206.30842749349344
2023-12-31,213.8028798342222
